,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band
158,neuron_093.smr,124.25682584163292,122.82352941176471,-2.1848303625986074,11.679749385555345,1.640072120802344,0.008047480916030534,0.6466351482498992,1.1522567599299718,0.31783332886516724,0,,1.021253923354129,,,,,2.9696969696969697,1,1,0,0,0
159,neuron_078.smr,72.39942080463358,71.8407960199005,0.4970433433826211,3.1025651151096927,3.643968523035791,0.013813443983402491,0.8415018149560725,1.3726578449266187,0.3744119811441784,5,26.641614923261926,1.0464730290456419,0.011775999999999986,1.8826240000001853e-06,0.67178,1.1572738988,2.9696969696969697,1,1,0,0,0
160,neuron_044.smr,6.905144793213932,6.870229007633588,0.5180474596878233,-0.8634184005408603,7.129770992366412,0.14352181818181817,2.178358127434223,4.561476116141312,0.9668082765630894,0,,1.7400802398377544,,,,,18.96969696969697,0,0,0,1,1
161,neuron_050.smr,37.76870862490427,37.450980392156865,0.32415013268544624,0.9031921651281016,6.580433220408582,0.02648668989547038,4.726671856593161,36.35615731125089,0.7011758045439795,9,12.449496587303665,1.1185257557208916,0.017395555555555657,1.3424513580246204e-05,0.7271399999999998,0.5702552267999998,2.9696969696969697,1,1,0,0,0
162,neuron_051.smr,8.098593226717737,8.035714285714286,1.607412951022932,2.13597563727076,15.223544973544975,0.12216474074074073,3.9243630780610292,17.941874355985686,1.6721282669672168,1,33.58460735969255,2.378596977039341,2.10064,0.0,,,2.484848484848485,1,1,0,0,1
163,neuron_045.smr,36.32649623046793,36.18421052631579,0.14424808756670268,-0.2346587089973471,4.579425837320575,0.027514181818181816,2.448840118506065,10.367357843596047,0.48935731038238006,6,11.87387757644771,1.091832611832578,0.02391999999999996,8.277333333332244e-07,0.917296,0.6480106634239997,2.9696969696969697,1,1,0,0,0
164,neuron_079.smr,41.325873483350705,41.02040816326531,0.463417632321191,0.3655382468959223,6.118895319321759,0.024039203980099504,1.2821535381979425,2.7719104868388866,0.5189756615393268,20,13.877083938648042,1.1006961529349548,0.017867999999999898,1.0052656000000838e-05,0.4172505263157895,0.287875126036565,2.9696969696969697,1,1,0,0,0
165,neuron_092.smr,48.400000000000006,48.3,0.8619167668192244,1.3183334733688774,11.099585921325053,0.020657060041407865,5.2072126782976635,51.587307569530125,0.8268692356878887,29,16.743468089567795,1.2657512280274168,0.015117241379310323,4.323523424495143e-06,0.33512,0.4362120914285713,2.9696969696969697,1,1,0,0,0
166,neuron_086.smr,66.70111889624673,66.45,0.20193530271996188,-0.8519204558516855,28.44841986455982,0.014993538692712242,10.463957705018135,162.1925419787227,1.8669868376159373,169,24.273679766286993,1.7849450824653736,0.010781065088757298,3.0633101081897174e-06,0.10707285714285723,0.06182556650136056,2.9696969696969697,1,1,0,0,0
167,neuron_253.smr,80.84852837622853,80.4,1.629707110436205,8.813526019216823,4.326368159203979,0.012341217391304346,1.4737186547609005,10.035544878406467,0.4047841895262406,26,30.167204636623445,1.0250180557561894,0.00799076923076922,5.091360946745422e-06,0.3487624,0.5387847013382399,2.9696969696969697,1,1,0,0,0
168,neuron_247.smr,41.171191191087736,40.94420600858369,-0.03264483215958527,2.227616371683257,1.8859826706615919,0.024290146750524107,0.600932002286444,1.36161038157047,0.4074770896432819,12,13.814792100666565,0.9942753479542977,0.01658416666666632,1.0530474305555857e-05,0.9259600000000003,0.8920993418909091,2.9696969696969697,1,1,0,0,0
169,neuron_290.smr,19.22729480249756,19.173553719008265,0.7856834433382363,1.0356852813021842,7.766101453405528,0.05112848484848485,1.7962017531617522,4.568357393117005,0.804798582164018,14,5.276704729510643,1.1705239205239162,0.025245000000000024,7.673862499999918e-05,0.5090776923076923,0.3853713513254434,2.9696969696969697,1,0,0,1,1
170,neuron_284.smr,24.546158002421688,24.402985074626866,1.5012335652616025,4.049613172894726,14.710164772467936,0.04017871165644172,1.9593361203015616,4.292519891581068,1.000948960511777,26,7.2684616464905,1.5899767177064452,0.022639615384615397,3.534188062130296e-05,0.23088799999999995,0.10142286599199997,2.9696969696969697,1,1,0,0,0
171,neuron_327.smr,26.092538228544843,25.99009900990099,0.6281122727440135,-0.04053879435031771,13.038472418670436,0.03793652671755725,3.1832337690175523,14.340142527293889,1.1414570368231143,36,7.8604476365981855,1.5287739962747278,0.020443888888888918,2.9275851543209352e-05,0.2506479999999999,0.12132880417599992,2.484848484848485,1,1,0,0,0
172,neuron_333.smr,81.26612489250071,80.99667774086379,-0.708910491958915,0.20514359154692352,7.904060569226449,0.012152955665024629,4.523588151877543,33.74795295470177,0.5579874297613998,0,,1.1357902490677296,,,,,2.9696969696969697,1,1,0,0,0
173,neuron_125.smr,17.72145429253621,17.673130193905816,-0.04621938047253153,-0.3128811500755422,3.862919962833995,0.056026037735849056,1.9370972822336037,7.0593384589283446,0.5411166619929125,0,,1.0832567234309658,,,,,2.484848484848485,1,0,0,0,1
174,neuron_131.smr,46.47238713681752,46.38132295719844,1.0167142312727593,0.7096949043521188,31.974381740788132,0.021332974789915967,3.650067261924446,17.381416908337158,1.5060875341781754,127,15.959267600694226,2.3546329790194624,0.010715433070866115,1.161084213528411e-05,0.08701761904761907,0.04968346326099772,2.484848484848485,1,1,0,0,0
175,neuron_119.smr,63.81412290091497,63.62537764350453,0.23535154054224192,-0.14311332567548884,14.855154170360613,0.01549333333333333,3.9035263971418277,22.238078278613024,1.0506189577775527,73,23.07752228050631,1.424019607843224,0.010317808219178007,4.571874648151722e-06,0.21118777777777784,0.09046835300617292,2.9696969696969697,1,1,0,0,0
176,neuron_127.smr,79.15372437888557,78.73563218390805,0.22449727910837736,-0.09744094396774639,10.738820370836478,0.012594455252918286,3.98100713779481,31.841374050789618,0.621315445639687,26,29.45876290729229,1.1726680868638788,0.010495384615384675,1.447732544378508e-06,0.39617999999999987,0.9530307887039996,2.9696969696969697,1,1,0,0,0
